psu,strata_id,Location.name.in.English,Location.name.in.Arabic,Latitude,Longitude,COD_Subdistrict,COD_District,COD_Governorate,SumDist,proba,num_households,survey_buffer
24084,Kirkuk,Al Tadamon(Hawkari),حي التضامن-هاوكاري-,35.41012372,44.38730494,Markaz Kirkuk,Kirkuk,Kirkuk,13629,0.066035659,900,18
22296,Kirkuk,Hay Al Jamia-Mahalla 622,حي الجامعة-622,35.40793818,44.32673626,Taza Khormato,Kirkuk,Kirkuk,13629,0.165822878,2260,36
24453,Kirkuk,Al Takhi Village,قرية تأخي,35.37670134,44.34932099,Taza Khormato,Kirkuk,Kirkuk,13629,0.024213075,330,6
15648,Kirkuk,Al-Sayada Complex,مجمع الصيادة,35.3806587,44.33244497,Taza Khormato,Kirkuk,Kirkuk,13629,0.020177563,275,6
23900,Kirkuk,Yaychi-Qaryat Turklan,قرية تركلان,35.38814883,44.27595199,Yaijy,Kirkuk,Kirkuk,13629,0.010639078,145,6
20844,Al-Kahla,Hay Al Karar,حي الكرار,31.84989086,47.1203488,Al-Msharah,Al-Kahla,Maysan,204,0.044117647,9,12
16835,Al-Kahla,Hay 15 Sahaban,حي 15 شعبان,31.84490493,47.13287912,Al-Msharah,Al-Kahla,Maysan,204,0.049019608,10,6
15991,Al-Kahla,Hay Al Rasool,حي الرسول,31.81918766,47.11993291,Al-Msharah,Al-Kahla,Maysan,204,0.039215686,8,6
24808,Al-Kahla,Eye of Missan,عيون ميسان,31.88447879,47.16787029,Al-Msharah,Al-Kahla,Maysan,204,0.073529412,15,6
22208,Al-Kahla,Al Salam,ناحية السلام-مركز الناحية,31.87811839,47.14734611,Al-Msharah,Al-Kahla,Maysan,204,0.06372549,13,6
24532,Al-Kahla,Al Hay Al JameI,الحي الجامعي,31.80705921,47.17830026,Al-Msharah,Al-Kahla,Maysan,204,0.524509804,107,42
23622,Al-Kahla,Hay Al-Ameer,حي الامير,31.53134617,47.28924227,Markaz Al-Kahla,Al-Kahla,Maysan,204,0.044117647,9,12
34009,Al-Baaj,Al Intisar,حي الانتصار,36.049594,41.71278,Markaz Al-Baaj,Al-Baaj,Ninewa,1188,0.179292929,213,42
34010,Al-Baaj,Al-Dubaat,حي الضباط,36.042967,41.711898,Markaz Al-Baaj,Al-Baaj,Ninewa,1188,0.082491582,98,24
34014,Al-Baaj,Hateen,حي حطين,36.04616,41.722867,Markaz Al-Baaj,Al-Baaj,Ninewa,1188,0.101851852,121,6
34013,Al-Baaj,Al Askari,حي العسكري,36.038799,41.718269,Markaz Al-Baaj,Al-Baaj,Ninewa,1188,0.063131313,75,6
