Location.ID,District,popgroup,Stratum,population
23078,Derbendikhan,idp_out_camp,Derbendikhan,57
5000,Dokan,idp_out_camp,Dokan,7
23721,Dokan,idp_out_camp,Dokan,52
23923,Dokan,idp_out_camp,Dokan,27
23924,Dokan,idp_out_camp,Dokan,28
5068,Dokan,idp_out_camp,Dokan,10
24554,Dokan,idp_out_camp,Dokan,20
24213,Dokan,idp_out_camp,Dokan,99
23333,Dokan,idp_out_camp,Dokan,92
6305,Dokan,idp_out_camp,Dokan,43
3593,Dokan,idp_out_camp,Dokan,8
5238,Dokan,idp_out_camp,Dokan,31
22460,Halabcha,idp_out_camp,Halabcha,9
21862,Halabcha,idp_out_camp,Halabcha,37
21961,Halabcha,idp_out_camp,Halabcha,79
21863,Halabcha,idp_out_camp,Halabcha,9
21857,Halabcha,idp_out_camp,Halabcha,28
21962,Halabcha,idp_out_camp,Halabcha,13
21960,Halabcha,idp_out_camp,Halabcha,16
25757,Halabcha,idp_out_camp,Halabcha,23
31863,Halabcha,idp_out_camp,Halabcha,12
31862,Halabcha,idp_out_camp,Halabcha,43
25647,Halabcha,idp_out_camp,Halabcha,15
22920,Halabcha,idp_out_camp,Halabcha,37
24096,Halabcha,idp_out_camp,Halabcha,56
23767,Kalar,idp_out_camp,Kalar,33
32001,Kalar,idp_out_camp,Kalar,93
6286,Kalar,idp_out_camp,Kalar,189
23769,Kalar,idp_out_camp,Kalar,38
5995,Kalar,idp_out_camp,Kalar,100
24890,Kalar,idp_out_camp,Kalar,48
3939,Kalar,idp_out_camp,Kalar,80
24962,Kalar,idp_out_camp,Kalar,148
31929,Kalar,idp_out_camp,Kalar,92
31932,Kalar,idp_out_camp,Kalar,52
21861,Kalar,idp_out_camp,Kalar,157
21852,Kalar,idp_out_camp,Kalar,221
25298,Rania,idp_out_camp,Rania,75
25293,Rania,idp_out_camp,Rania,9
25297,Rania,idp_out_camp,Rania,17
5568,Rania,idp_out_camp,Rania,17
25296,Rania,idp_out_camp,Rania,18
29686,Rania,idp_out_camp,Rania,31
31869,Rania,idp_out_camp,Rania,13
25522,Rania,idp_out_camp,Rania,13
24814,Rania,idp_out_camp,Rania,9
24101,Rania,idp_out_camp,Rania,45
24984,Al-Mussyab,idp_out_camp,Al-Mussyab,129
24985,Al-Mussyab,idp_out_camp,Al-Mussyab,88
25613,Al-Mussyab,idp_out_camp,Al-Mussyab,22
24296,Al-Mussyab,idp_out_camp,Al-Mussyab,34
24707,Al-Mussyab,idp_out_camp,Al-Mussyab,237
7126,Al-Mussyab,idp_out_camp,Al-Mussyab,110
24165,Al-Mussyab,idp_out_camp,Al-Mussyab,94
26119,Al-Mussyab,idp_out_camp,Al-Mussyab,47
24171,Al-Mussyab,idp_out_camp,Al-Mussyab,145
29582,Al-Mussyab,idp_out_camp,Al-Mussyab,92
7220,Al-Mussyab,idp_out_camp,Al-Mussyab,33
26125,Al-Mussyab,idp_out_camp,Al-Mussyab,65
27255,Al-Adhamiya,idp_out_camp,Al-Adhamiya,8
