num,psu,n,new_ID,name,district,governorate,label
59,167,1,cluster_location_id_59,Antesar,Al-Rutba,Al-Anbar,59_Antesar
60,24109,1,cluster_location_id_60,Barwanah-Hay Al-Shurta,Haditha,Al-Anbar,60_Barwanah-Hay Al-Shurta
61,21264,1,cluster_location_id_61,Basair,Heet,Al-Anbar,61_Basair
62,271,1,cluster_location_id_62,Door Al-Sikak,Al-Kaim,Al-Anbar,62_Door Al-Sikak
63,23888,1,cluster_location_id_63,Gharb Al-Wadi,Al-Rutba,Al-Anbar,63_Gharb Al-Wadi
64,24117,1,cluster_location_id_64,Haqlaniyah-Hay Al-Faroq,Haditha,Al-Anbar,64_Haqlaniyah-Hay Al-Faroq
65,272,1,cluster_location_id_65,Hay 12 Rabee Alawal,Al-Kaim,Al-Anbar,65_Hay 12 Rabee Alawal
66,204,1,cluster_location_id_66,Hay 30 Tamooz,Al-Ramadi,Al-Anbar,66_Hay 30 Tamooz
67,29561,1,cluster_location_id_67,Hay 8 Shbbat,Al-Ramadi,Al-Anbar,67_Hay 8 Shbbat
68,23793,1,cluster_location_id_68,Hay Al Askary,Al-Kaim,Al-Anbar,68_Hay Al Askary
69,125,1,cluster_location_id_69,Hay Al Dhubbat,Al-Falluja,Al-Anbar,69_Hay Al Dhubbat
70,228,1,cluster_location_id_70,Hay al Jury,Heet,Al-Anbar,70_Hay al Jury
71,23023,1,cluster_location_id_71,Hay Al Malab,Al-Ramadi,Al-Anbar,71_Hay Al Malab
72,33467,1,cluster_location_id_72,Hay Al Mansour Tawzi Al Jadeed,Al-Falluja,Al-Anbar,72_Hay Al Mansour Tawzi Al Jadeed
73,166,1,cluster_location_id_73,Hay Al Meethagh,Al-Rutba,Al-Anbar,73_Hay Al Meethagh
74,251,1,cluster_location_id_74,Hay Al Qadissiyah,Ana,Al-Anbar,74_Hay Al Qadissiyah
75,24315,1,cluster_location_id_75,Hay Al Rahman,Haditha,Al-Anbar,75_Hay Al Rahman
76,23788,1,cluster_location_id_76,Hay Al Rashid,Al-Kaim,Al-Anbar,76_Hay Al Rashid
77,253,1,cluster_location_id_77,Hay Al Salam,Ana,Al-Anbar,77_Hay Al Salam
78,23817,1,cluster_location_id_78,Hay Al Shay,Haditha,Al-Anbar,78_Hay Al Shay
79,262,1,cluster_location_id_79,Hay Al Shoba,Ana,Al-Anbar,79_Hay Al Shoba
80,23813,1,cluster_location_id_80,Hay Al Shuhadaa,Haditha,Al-Anbar,80_Hay Al Shuhadaa
81,249,1,cluster_location_id_81,Hay Al Tammem,Ana,Al-Anbar,81_Hay Al Tammem
82,23799,1,cluster_location_id_82,Hay Al ZeraI,Ana,Al-Anbar,82_Hay Al ZeraI
83,33820,1,cluster_location_id_83,Hay Al_salam,Haditha,Al-Anbar,83_Hay Al_salam
84,34016,1,cluster_location_id_84,Hay Al-Aramel,Al-Ramadi,Al-Anbar,84_Hay Al-Aramel
85,219,1,cluster_location_id_85,Hay Al-Jabal,Heet,Al-Anbar,85_Hay Al-Jabal
86,23885,1,cluster_location_id_86,Hay Al-jamyah 2,Heet,Al-Anbar,86_Hay Al-jamyah 2
87,277,1,cluster_location_id_87,Hay Al-Maamon,Al-Kaim,Al-Anbar,87_Hay Al-Maamon
88,23853,1,cluster_location_id_88,Hay Al-Madani,Al-Falluja,Al-Anbar,88_Hay Al-Madani
89,287,1,cluster_location_id_89,Hay Al-Makarim,Al-Kaim,Al-Anbar,89_Hay Al-Makarim
90,233,1,cluster_location_id_90,Hay Al-Matar,Al-Rutba,Al-Anbar,90_Hay Al-Matar
