"governorate","district","a7","a7_min","a7_max","a8","a8_min","a8_max","a10_child","a10_child_min","a10_child_max","a10_adult","a10_adult_min","a10_adult_max","a10_elder","a10_elder_min","a10_elder_max","a11","a11_min","a11_max","a14","a14_min","a14_max","a9_male","a9_male_min","a9_male_max","a9_female","a9_female_min","a9_female_max","g5","g5_min","g5_max","g6","g6_min","g6_max","g8","g8_min","g8_max","g9","g9_min","g9_max","g19","g19_min","g19_max","g4","g4_min","g4_max","g7_i","g7_i_min","g7_i_max","g7_ii","g7_ii_min","g7_ii_max","g7_iii","g7_iii_min","g7_iii_max","g7_iv","g7_iv_min","g7_iv_max","g7_v","g7_v_min","g7_v_max","g7_vi","g7_vi_min","g7_vi_max","g7_vii","g7_vii_min","g7_vii_max","g7_viii","g7_viii_min","g7_viii_max","g7_ix","g7_ix_min","g7_ix_max","g7_x","g7_x_min","g7_x_max","g7_xi","g7_xi_min","g7_xi_max","g7_xii","g7_xii_min","g7_xii_max","g7_xiii","g7_xiii_min","g7_xiii_max","g7_xiv","g7_xiv_min","g7_xiv_max","a13","a13_min","a13_max","g44","g44_min","g44_max","g45_i","g45_i_min","g45_i_max","g45_ii","g45_ii_min","g45_ii_max","g45_iii","g45_iii_min","g45_iii_max","g45_iv","g45_iv_min","g45_iv_max","g45_v","g45_v_min","g45_v_max","g45_vi","g45_vi_min","g45_vi_max","g45_vii","g45_vii_min","g45_vii_max","b5","b5_min","b5_max","b6","b6_min","b6_max","b7","b7_min","b7_max","g15_i","g15_i_min","g15_i_max","g15_ii","g15_ii_min","g15_ii_max","g15_iii","g15_iii_min","g15_iii_max","g29","g29_min","g29_max","g25","g25_min","g25_max","g26","g26_min","g26_max","g28","g28_min","g28_max","g34_i","g34_i_min","g34_i_max","g34_ii","g34_ii_min","g34_ii_max","g34_iii","g34_iii_min","g34_iii_max","g34_iv","g34_iv_min","g34_iv_max","g34_v","g34_v_min","g34_v_max","g34_vi","g34_vi_min","g34_vi_max","g34_vii","g34_vii_min","g34_vii_max","g34_viii","g34_viii_min","g34_viii_max","g34_ix","g34_ix_min","g34_ix_max","g34_x","g34_x_min","g34_x_max","g34_xi","g34_xi_min","g34_xi_max","g32","g32_min","g32_max","g35","g35_min","g35_max","c3","c3_min","c3_max","g56","g56_min","g56_max","g57","g57_min","g57_max","c2","c2_min","c2_max","g95","g95_min","g95_max","g96","g96_min","g96_max","g97","g97_min","g97_max","g99","g99_min","g99_max","g98","g98_min","g98_max","b1","b1_min","b1_max","b3","b3_min","b3_max","g102","g102_min","g102_max","g37","g37_min","g37_max","g38","g38_min","g38_max","g39","g39_min","g39_max","b2","b2_min","b2_max","g41","g41_min","g41_max","a16","a16_min","a16_max","a17","a17_min","a17_max","g85","g85_min","g85_max","g89","g89_min","g89_max","g68","g68_min","g68_max","g66","g66_min","g66_max","g54","g54_min","g54_max","g54_i","g54_i_min","g54_i_max","g54_ii","g54_ii_min","g54_ii_max","g54_iii","g54_iii_min","g54_iii_max","g54_v","g54_v_min","g54_v_max","g54_vi","g54_vi_min","g54_vi_max","c9","c9_min","c9_max","g61","g61_min","g61_max","g62_i","g62_i_min","g62_i_max","g62_ii","g62_ii_min","g62_ii_max","g63","g63_min","g63_max","g51","g51_min","g51_max","g51b","g51b_min","g51b_max","a12","a12_min","a12_max","g53a","g53a_min","g53a_max","g53b_i","g53b_i_min","g53b_i_max","g53b_ii","g53b_ii_min","g53b_ii_max","g53b_iii","g53b_iii_min","g53b_iii_max","g53b_iv","g53b_iv_min","g53b_iv_max","g53b_v","g53b_v_min","g53b_v_max","g53b_vi","g53b_vi_min","g53b_vi_max","g53b_vii","g53b_vii_min","g53b_vii_max","g52","g52_min","g52_max","a22","a22_min","a22_max","a26_i","a26_i_min","a26_i_max","a26_ii","a26_ii_min","a26_ii_max","a26_iii","a26_iii_min","a26_iii_max","a26_iv","a26_iv_min","a26_iv_max","a26_xv","a26_xv_min","a26_xv_max","a26_v","a26_v_min","a26_v_max","a26_vi","a26_vi_min","a26_vi_max","a26_vii","a26_vii_min","a26_vii_max","a26_viii","a26_viii_min","a26_viii_max","a26_ix","a26_ix_min","a26_ix_max","a26_x","a26_x_min","a26_x_max","a26_xi","a26_xi_min","a26_xi_max","a26_xii","a26_xii_min","a26_xii_max","a26_xiii","a26_xiii_min","a26_xiii_max","a26_xiv","a26_xiv_min","a26_xiv_max","a15_i","a15_i_min","a15_i_max","a15_ii","a15_ii_min","a15_ii_max","a15_iii","a15_iii_min","a15_iii_max","a15_iv","a15_iv_min","a15_iv_max","a15_v","a15_v_min","a15_v_max","a15_xiv","a15_xiv_min","a15_xiv_max","a15_vi","a15_vi_min","a15_vi_max","a15_viii","a15_viii_min","a15_viii_max","a15_ix","a15_ix_min","a15_ix_max","a15_x","a15_x_min","a15_x_max","a15_xiii","a15_xiii_min","a15_xiii_max","a15_xii","a15_xii_min","a15_xii_max","a15_xi","a15_xi_min","a15_xi_max","a15_xv","a15_xv_min","a15_xv_max","a15_xvi","a15_xvi_min","a15_xvi_max","a15_xvii","a15_xvii_min","a15_xvii_max","a15_xviii","a15_xviii_min","a15_xviii_max","a15_xix","a15_xix_min","a15_xix_max","a15_xx","a15_xx_min","a15_xx_max","a15_xxi","a15_xxi_min","a15_xxi_max","a15_xxiii","a15_xxiii_min","a15_xxiii_max","a15_xxiv","a15_xxiv_min","a15_xxiv_max","g67","g67_min","g67_max","g73","g73_min","g73_max","g74","g74_min","g74_max","f7b","f7b_min","f7b_max","d1_ii","d1_ii_min","d1_ii_max","d1_iii","d1_iii_min","d1_iii_max","d1_iv","d1_iv_min","d1_iv_max","d1_v","d1_v_min","d1_v_max","d1_vi","d1_vi_min","d1_vi_max","d1_vii","d1_vii_min","d1_vii_max","d1_viii","d1_viii_min","d1_viii_max","d1_i","d1_i_min","d1_i_max","d1_ix","d1_ix_min","d1_ix_max","d1_x","d1_x_min","d1_x_max","d1_xi","d1_xi_min","d1_xi_max","d1_xii","d1_xii_min","d1_xii_max","d1_xiii","d1_xiii_min","d1_xiii_max","d2_ii","d2_ii_min","d2_ii_max","d2_iii","d2_iii_min","d2_iii_max","d2_iv","d2_iv_min","d2_iv_max","d2_v","d2_v_min","d2_v_max","d2_vi","d2_vi_min","d2_vi_max","d2_i","d2_i_min","d2_i_max","d2_vii","d2_vii_min","d2_vii_max","d2_viii","d2_viii_min","d2_viii_max","d2_ix","d2_ix_min","d2_ix_max","d2_x","d2_x_min","d2_x_max","d3_ii","d3_ii_min","d3_ii_max","d3_iii","d3_iii_min","d3_iii_max","d3_iv","d3_iv_min","d3_iv_max","d3_v","d3_v_min","d3_v_max","d3_i","d3_i_min","d3_i_max","d3_vi","d3_vi_min","d3_vi_max","d3_vii","d3_vii_min","d3_vii_max","d3_viii","d3_viii_min","d3_viii_max","d3_ix","d3_ix_min","d3_ix_max","d3_x","d3_x_min","d3_x_max","d3_xi","d3_xi_min","d3_xi_max","d3_xii","d3_xii_min","d3_xii_max","d3_xiii","d3_xiii_min","d3_xiii_max","d3_xiv","d3_xiv_min","d3_xiv_max","d3_xv","d3_xv_min","d3_xv_max","d4","d4_min","d4_max","d5_i","d5_i_min","d5_i_max","d5_ii","d5_ii_min","d5_ii_max","d5_iii","d5_iii_min","d5_iii_max","d5_iv","d5_iv_min","d5_iv_max","d5_v","d5_v_min","d5_v_max","d5_vi","d5_vi_min","d5_vi_max","d5_vii","d5_vii_min","d5_vii_max","d5_viii","d5_viii_min","d5_viii_max","d5_ix","d5_ix_min","d5_ix_max","d5_x","d5_x_min","d5_x_max","d6","d6_min","d6_max","d7","d7_min","d7_max","d10","d10_min","d10_max","d12","d12_min","d12_max","d15","d15_min","d15_max"
"","","HH Profile","","","HH Profile","","","HH Profile","","","HH Profile","","","HH Profile","","","Family Profile","","","Family Profile","","","Protection - GBV ","","","Protection - GBV ","","","Education, Protection - CP","","","Education, Protection - CP","","","Education","","","Education","","","Education","","","Education, Protection - CP","","","Education, Protection - CP","","","Education, Protection - CP","","","Education, Protection - CP","","","Education, Protection - CP","","","Education, Protection - CP","","","Education, Protection - CP","","","Education, Protection - CP","","","Education, Protection - CP","","","Education, Protection - CP","","","Education, Protection - CP","","","Education, Protection - CP","","","Education, Protection - CP","","","Education, Protection - CP","","","Education, Protection - CP","","","Famile profile - Protection CP","","","Family profile - Emerg. livelihoods","","","Livelihoods","","","Livelihoods","","","Livelihoods","","","Livelihoods","","","Livelihoods","","","Livelihoods","","","Livelihoods","","","Livelihoods, Food Security, CWG, Protection ","","","Livelihoods, Food Security, CWG, Protection ","","","Livelihoods, Food Security, CWG, Protection ","","","Food Security","","","Food Security","","","Food Security","","","Health","","","Health","","","Health","","","Health","","","Health","","","Health","","","Health","","","Health","","","Health","","","Health","","","Health","","","Health","","","Health","","","Health","","","Health","","","Health, Protection GBV","","","Family Profile, Health","","","Protection, Health","","","Health, Protection CP","","","Health, Protection","","","Health, Protection MA","","","WASH","","","WASH","","","WASH","","","WASH","","","WASH","","","Livelihoods","","","Livelihoods","","","Livelihoods, Food Security","","","Livelihoods","","","Livelihoods","","","Livelihoods","","","Livelihoods","","","Livelihoods","","","SNFI, Protection","","","Shelter","","","SNFI","","","Shelter, SNFI","","","Intentions, Protection - HLP","","","Protection - HLP","","","Protection, Access and safety","","","Protection, Access and safety","","","Protection, Access and safety","","","Protection, Access and safety","","","Protection, Access and safety","","","Protection, Access and safety","","","Protection","","","Protection","","","Protection","","","Protection","","","Protection - GBV ","","","Protection","","","Protection - CP","","","Family Profile, Protection CP & Protection GBV","","","Protection - CP","","","Protection - CP","","","Protection - CP","","","Protection - CP","","","Protection - CP","","","Protection - CP","","","Protection - CP","","","Protection - CP","","","Protection - CP","","","Intentions","","","Intentions","","","Intentions","","","Intentions","","","Intentions","","","Intentions","","","Intentions","","","Intentions","","","Intentions","","","Intentions","","","Intentions","","","Intentions","","","Intentions","","","Intentions","","","Intentions","","","Intentions","","","Intentions","","","Intentions","","","Intentions","","","Intentions","","","Intentions","","","Intentions","","","Intentions","","","Intentions","","","Intentions","","","Intentions","","","Intentions","","","Intentions","","","Intentions","","","Intentions","","","Intentions","","","Intentions","","","Intentions","","","Intentions","","","Intentions","","","Intentions","","","Intentions","","","Intentions","","","Intentions","","","Intentions, Protection MA","","","Protection MA","","","Durable solutions -  Access to effective mechanisms to restore housing, land and property (HLP) or to provide compensation, Protection - HLP","","","AAP","","","AAP","","","AAP","","","AAP","","","AAP","","","AAP","","","AAP","","","AAP","","","AAP","","","AAP","","","AAP","","","AAP","","","AAP","","","AAP","","","AAP","","","AAP","","","AAP","","","AAP","","","AAP","","","AAP","","","AAP","","","AAP","","","AAP","","","AAP","","","AAP","","","AAP","","","AAP","","","AAP","","","AAP","","","AAP","","","AAP","","","AAP","","","AAP","","","AAP","","","AAP","","","AAP","","","AAP","","","AAP","","","AAP","","","AAP","","","AAP","","","AAP","","","AAP","","","AAP","","","AAP","","","AAP","","","AAP","","","AAP","","","AAP","","","AAP","","","AAP","","","AAP","","","AAP","","","AAP","",""
"","","Average household size","","","Average family size ","","","% of children family members","","","% of adult family members","","","% of elderly family members","","","% of single-headed households (separated, divorced, widowed) ","","","% of female-headed households (separated, divorced, widowed) ","","","% of male family members","","","% of female family members","","","% of HH where all children attended formal education regularly (at least 4 days a week) prior to the COVID-19 outbreak","","","% of HH where all children attended formal or informal education regularly (at least 4 days a week) prior to the COVID-19 outbreak","","","% HH with a functional primary and secondary school within 5km","","","% of HH with at least one child dropping out of school in the previous year","","","% of households with at least one child regularly attending formal or informal education (at least 4 days a week) prior to the COVID-19 outbreak, while also working or contributing to the household income","","","% HH with at least one child not attending formal or informal education regularly (at least 4 days a week) prior to the COVID-19 outbreak","","","Main barriers to school for school-aged children (as a percentage of HHs in which at least one child is not attending formal education regularly)","","","Main barriers to school for school-aged children (as a percentage of HHs in which at least one child is not attending formal education regularly)","","","Main barriers to school for school-aged children (as a percentage of HHs in which at least one child is not attending formal education regularly)","","","Main barriers to school for school-aged children (as a percentage of HHs in which at least one child is not attending formal education regularly)","","","Main barriers to school for school-aged children (as a percentage of HHs in which at least one child is not attending formal education regularly)","","","Main barriers to school for school-aged children (as a percentage of HHs in which at least one child is not attending formal education regularly)","","","Main barriers to school for school-aged children (as a percentage of HHs in which at least one child is not attending formal education regularly)","","","Main barriers to school for school-aged children (as a percentage of HHs in which at least one child is not attending formal education regularly)","","","Main barriers to school for school-aged children (as a percentage of HHs in which at least one child is not attending formal education regularly)","","","Main barriers to school for school-aged children (as a percentage of HHs in which at least one child is not attending formal education regularly)","","","Main barriers to school for school-aged children (as a percentage of HHs in which at least one child is not attending formal education regularly)","","","Main barriers to school for school-aged children (as a percentage of HHs in which at least one child is not attending formal education regularly)","","","Main barriers to school for school-aged children (as a percentage of HHs in which at least one child is not attending formal education regularly)","","","Main barriers to school for school-aged children (as a percentage of HHs in which at least one child is not attending formal education regularly)","","","% HH with at least one person under (<18) working","","","% HH with at least one adult (18+) unemployed and seeking work","","","Main barriers to employment (as a percentage of HHs with at least one member that is unemployed)","","","Main barriers to employment (as a percentage of HHs with at least one member that is unemployed)","","","Main barriers to employment (as a percentage of HHs with at least one member that is unemployed)","","","Main barriers to employment (as a percentage of HHs with at least one member that is unemployed)","","","Main barriers to employment (as a percentage of HHs with at least one member that is unemployed)","","","Main barriers to employment (as a percentage of HHs with at least one member that is unemployed)","","","Main barriers to employment (as a percentage of HHs with at least one member that is unemployed)","","","% HH relying on stress / crisis / emergency strategies to cope with a lack of resources to meet basic needs.","","","% HH relying on stress / crisis / emergency strategies to cope with a lack of resources to meet basic needs.","","","% HH relying on stress / crisis / emergency strategies to cope with a lack of resources to meet basic needs.","","","% of HH by Household Hunger Category","","","% of HH by Household Hunger Category","","","% of HH by Household Hunger Category","","","% of HH that can access a hospital within one hour's walk from dwellings","","","% of HH that can access primary healthcare (health clinic and/or hospital) within one hour's walk from dwellings","","","% of HH that can access a hospital with emergency, maternity, surgical and pediatric services within one hour's walk from dwellings","","","% of HH that can access a health clinic within one hour's walk from dwellings","","","% HH reporting [type of difficulty] in accessing health services (as a percentage of HHs that needed to access health services in the past 3 months)","","","% HH reporting [type of difficulty] in accessing health services (as a percentage of HHs that needed to access health services in the past 3 months)","","","% HH reporting [type of difficulty] in accessing health services (as a percentage of HHs that needed to access health services in the past 3 months)","","","% HH reporting [type of difficulty] in accessing health services (as a percentage of HHs that needed to access health services in the past 3 months)","","","% HH reporting [type of difficulty] in accessing health services (as a percentage of HHs that needed to access health services in the past 3 months)","","","% HH reporting [type of difficulty] in accessing health services (as a percentage of HHs that needed to access health services in the past 3 months)","","","% HH reporting [type of difficulty] in accessing health services (as a percentage of HHs that needed to access health services in the past 3 months)","","","% HH reporting [type of difficulty] in accessing health services (as a percentage of HHs that needed to access health services in the past 3 months)","","","% HH reporting [type of difficulty] in accessing health services (as a percentage of HHs that needed to access health services in the past 3 months)","","","% HH reporting [type of difficulty] in accessing health services (as a percentage of HHs that needed to access health services in the past 3 months)","","","% HH reporting [type of difficulty] in accessing health services (as a percentage of HHs that needed to access health services in the past 3 months)","","","% Women of reproductive age (12-49) with access to specialized reproductive health services","","","% HH with at least one individual with a chronic health condition","","","% HH with at least one individual with a disability (% HH with at least on individual that has ""lots of difficulty"" or ""cannot do at all"" one of the following activities: seeing, hearing, walking/climbing steps, remembering/concerntrating, self-care, communicating)","","","% HH with children with psychosocial distress (proxy data with behaviour change)","","","% HH adults with psychosocial distress (proxy data with behavior change)","","","% of HH with indiviudals who have been injured or killed by explosive ordnance","","","% of HH with access to an improved water source","","","% of HH treating their water prior to drinking","","","% HH with access to improved functional sanitation facilities ","","","% HH with access to soap and practicing handwashing","","","% of households satisfied with regards to access to hygiene items","","","% of households whose average monthly income [from employment and pension] was less than 480,000 IQD/month","","","% of single female headed households whose average monthly income [from employment and pension] was less than 480,000 IQD/month","","","% of HH spending more than 40% of their total expenditure on food","","","% HH with debt value > 505,000 IQD ","","","% HH unable to afford basic needs (% HH taking on debt due to healthcare, food, education, or basic household expenditures)","","","% of HH reporting members losing jobs permanently or temporarily as a result of the COVID-19 outbreak","","","% HH relying on humanitarian assistance as a primary source of income","","","% HH who can access an operational marketplace or grocery store within a 30 minutes walk from dwellings","","","% of people living under critical shelter conditions (aggregated indicator)","","","% of HHs with access to a safe and healthy housing enclosure unit","","","% HHs needing basic NFI items","","","% HHs reporting at least 2 shelter improvements","","","% HH lacking secure tenure","","","% of HHs lacking valid HLP documentation","","","% HHs experiencing daytime movement restrictions unrelated to COVID-19","","","% HHs experiencing daytime movement restrictions unrelated to COVID-19","","","% HHs experiencing daytime movement restrictions unrelated to COVID-19","","","% HHs experiencing daytime movement restrictions unrelated to COVID-19","","","% HHs experiencing daytime movement restrictions unrelated to COVID-19","","","% HHs experiencing daytime movement restrictions unrelated to COVID-19","","","% HH with members unable to access one or more services due to disability","","","% of HHs that have suffered incidents affecting HH members in the last 30 days","","","% of HHs that have suffered safety or security incidents affecting female/male household members in the last 30 days","","","% of HHs that have suffered safety or security incidents affecting female/male household members in the last 30 days","","","% of HHs where women and girls who avoid areas because they feel unsafe there","","","% HH missing at least one key household or individual document ","","","% of HH with at least one child missing a key individual document","","","% of households with presence of child marriage","","","% of households with at least one child under 18 currently not residing in the HH","","","% of HHs with children under 18 currently not residing in the HH, by protection incident (as a percentage of HHs reporting at least one child not residing in the HH)","","","% of HHs with children under 18 currently not residing in the HH, by protection incident (as a percentage of HHs reporting at least one child not residing in the HH)","","","% of HHs with children under 18 currently not residing in the HH, by protection incident (as a percentage of HHs reporting at least one child not residing in the HH)","","","% of HHs with children under 18 currently not residing in the HH, by protection incident (as a percentage of HHs reporting at least one child not residing in the HH)","","","% of HHs with children under 18 currently not residing in the HH, by protection incident (as a percentage of HHs reporting at least one child not residing in the HH)","","","% of HHs with children under 18 currently not residing in the HH, by protection incident (as a percentage of HHs reporting at least one child not residing in the HH)","","","% of HHs with children under 18 currently not residing in the HH, by protection incident (as a percentage of HHs reporting at least one child not residing in the HH)","","","% of HH using violent disciplinary measures against their children","","","% HH that attempted return to their AoO in the past 12 months","","","% of IDP HHs that currently intends to return to their AoO due to [insert response option]","","","% of IDP HHs that currently intends to return to their AoO due to [insert response option]","","","% of IDP HHs that currently intends to return to their AoO due to [insert response option]","","","% of IDP HHs that currently intends to return to their AoO due to [insert response option]","","","% of IDP HHs that currently intends to return to their AoO due to [insert response option]","","","% of IDP HHs that currently intends to return to their AoO due to [insert response option]","","","% of IDP HHs that currently intends to return to their AoO due to [insert response option]","","","% of IDP HHs that currently intends to return to their AoO due to [insert response option]","","","% of IDP HHs that currently intends to return to their AoO due to [insert response option]","","","% of IDP HHs that currently intends to return to their AoO due to [insert response option]","","","% of IDP HHs that currently intends to return to their AoO due to [insert response option]","","","% of IDP HHs that currently intends to return to their AoO due to [insert response option]","","","% of IDP HHs that currently intends to return to their AoO due to [insert response option]","","","% of IDP HHs that currently intends to return to their AoO due to [insert response option]","","","% of IDP HHs that currently intends to return to their AoO due to [insert response option]","","","% of IDP HHs that currently don't intend to return to their AoO due to [insert response option]","","","% of IDP HHs that currently don't intend to return to their AoO due to [insert response option]","","","% of IDP HHs that currently don't intend to return to their AoO due to [insert response option]","","","% of IDP HHs that currently don't intend to return to their AoO due to [insert response option]","","","% of IDP HHs that currently don't intend to return to their AoO due to [insert response option]","","","% of IDP HHs that currently don't intend to return to their AoO due to [insert response option]","","","% of IDP HHs that currently don't intend to return to their AoO due to [insert response option]","","","% of IDP HHs that currently don't intend to return to their AoO due to [insert response option]","","","% of IDP HHs that currently don't intend to return to their AoO due to [insert response option]","","","% of IDP HHs that currently don't intend to return to their AoO due to [insert response option]","","","% of IDP HHs that currently don't intend to return to their AoO due to [insert response option]","","","% of IDP HHs that currently don't intend to return to their AoO due to [insert response option]","","","% of IDP HHs that currently don't intend to return to their AoO due to [insert response option]","","","% of IDP HHs that currently don't intend to return to their AoO due to [insert response option]","","","% of IDP HHs that currently don't intend to return to their AoO due to [insert response option]","","","% of IDP HHs that currently don't intend to return to their AoO due to [insert response option]","","","% of IDP HHs that currently don't intend to return to their AoO due to [insert response option]","","","% of IDP HHs that currently don't intend to return to their AoO due to [insert response option]","","","% of IDP HHs that currently don't intend to return to their AoO due to [insert response option]","","","% of IDP HHs that currently don't intend to return to their AoO due to [insert response option]","","","% of IDP HHs that currently don't intend to return to their AoO due to [insert response option]","","","% of IDP HHs that currently don't intend to return to their AoO due to [insert response option]","","","% of IDP HHs not intending to return due to HLP issues (damage/destruction, secondary occupation or unresolved HLP ownership issues)","","","% of IDP HHs not intending to return to their AoO due to explosive ordnance contamination","","","% of HHs where at least one member has received any information, education or training about the risk of explosive ordnance","","","% of HH with access/knowledge of complaint mechanisms","","","Information needs and preferences from aid providers - what  ","","","Information needs and preferences from aid providers - what  ","","","Information needs and preferences from aid providers - what  ","","","Information needs and preferences from aid providers - what  ","","","Information needs and preferences from aid providers - what  ","","","Information needs and preferences from aid providers - what  ","","","Information needs and preferences from aid providers - what  ","","","Information needs and preferences from aid providers - what  ","","","Information needs and preferences from aid providers - what  ","","","Information needs and preferences from aid providers - what  ","","","Information needs and preferences from aid providers - what  ","","","Information needs and preferences from aid providers - what  ","","","Information needs and preferences from aid providers - what  ","","","IDPs Information needs and preferences from aid providers - who/where","","","IDPs Information needs and preferences from aid providers - who/where","","","IDPs Information needs and preferences from aid providers - who/where","","","IDPs Information needs and preferences from aid providers - who/where","","","IDPs Information needs and preferences from aid providers - who/where","","","IDPs Information needs and preferences from aid providers - who/where","","","IDPs Information needs and preferences from aid providers - who/where","","","IDPs Information needs and preferences from aid providers - who/where","","","IDPs Information needs and preferences from aid providers - who/where","","","IDPs Information needs and preferences from aid providers - who/where","","","Information needs and preferences from aid providers - means","","","Information needs and preferences from aid providers - means","","","Information needs and preferences from aid providers - means","","","Information needs and preferences from aid providers - means","","","Information needs and preferences from aid providers - means","","","Information needs and preferences from aid providers - means","","","Information needs and preferences from aid providers - means","","","Information needs and preferences from aid providers - means","","","Information needs and preferences from aid providers - means","","","Information needs and preferences from aid providers - means","","","Information needs and preferences from aid providers - means","","","Information needs and preferences from aid providers - means","","","Information needs and preferences from aid providers - means","","","Information needs and preferences from aid providers - means","","","Information needs and preferences from aid providers - means","","","% HH reporting to have received aid in the past 30 days","","","% HH reporting to have received [type of aid] (as a percentage of HHs that reported having received aid in the past 30 days)","","","% HH reporting to have received [type of aid] (as a percentage of HHs that reported having received aid in the past 30 days)","","","% HH reporting to have received [type of aid] (as a percentage of HHs that reported having received aid in the past 30 days)","","","% HH reporting to have received [type of aid] (as a percentage of HHs that reported having received aid in the past 30 days)","","","% HH reporting to have received [type of aid] (as a percentage of HHs that reported having received aid in the past 30 days)","","","% HH reporting to have received [type of aid] (as a percentage of HHs that reported having received aid in the past 30 days)","","","% HH reporting to have received [type of aid] (as a percentage of HHs that reported having received aid in the past 30 days)","","","% HH reporting to have received [type of aid] (as a percentage of HHs that reported having received aid in the past 30 days)","","","% HH reporting to have received [type of aid] (as a percentage of HHs that reported having received aid in the past 30 days)","","","% HH reporting to have received [type of aid] (as a percentage of HHs that reported having received aid in the past 30 days)","","","% HH satsified with aid received (as a percentage of HHs that reported having received aid in the past 30 days)","","","% HH not satsified with quanitity (as a percentage of HHs that reported having received aid in the past 30 days)","","","% HH not satisifed with aid worker behavior (as a percentage of HHs that reported having received aid in the past 30 days)","","","% HH with acces/knowledge of complaint mechanisms (as a percentage of HHs that reported having received aid in the past 30 days)","","","% HH reporting needing more information about COVID-19 prevention measures","",""
