"Governorate","district","psu","Location.Name","popgroup","pop","stratum"
"Al-Qadissiya","al.diwaniya",25509,"Al-Taamem-2","idp",6,"al.diwaniyaidp"
"Al-Sulaymaniyah","al.sulaymaniyah",5808,"Bazyan-shwankara","idp",35,"al.sulaymaniyahidp"
"Al-Sulaymaniyah","al.sulaymaniyah",5930,"Wluba 326","idp",163,"al.sulaymaniyahidp"
"Al-Sulaymaniyah","al.sulaymaniyah",23926,"Dargazen","idp",39,"al.sulaymaniyahidp"
"Al-Sulaymaniyah","al.sulaymaniyah",21021,"Sabun karan Qt","idp",64,"al.sulaymaniyahidp"
"Al-Sulaymaniyah","al.sulaymaniyah",5122,"Arbat-Kharajian","idp",7,"al.sulaymaniyahidp"
"Al-Sulaymaniyah","al.sulaymaniyah",5744,"Bardakar","idp",59,"al.sulaymaniyahidp"
"Al-Sulaymaniyah","al.sulaymaniyah",21033,"Tavga","idp",90,"al.sulaymaniyahidp"
"Al-Sulaymaniyah","al.sulaymaniyah",21036,"Farmanbaran","idp",163,"al.sulaymaniyahidp"
"Al-Sulaymaniyah","al.sulaymaniyah",5737,"Awbara","idp",194,"al.sulaymaniyahidp"
"Al-Sulaymaniyah","al.sulaymaniyah",33357,"Mushirawa 406 & 206","idp",51,"al.sulaymaniyahidp"
"Al-Sulaymaniyah","al.sulaymaniyah",4441,"Sarchnar","idp",432,"al.sulaymaniyahidp"
"Al-Sulaymaniyah","al.sulaymaniyah",33348,"Chwar chra New","idp",13,"al.sulaymaniyahidp"
"Al-Sulaymaniyah","al.sulaymaniyah",24816,"Saib City","idp",235,"al.sulaymaniyahidp"
"Al-Sulaymaniyah","al.sulaymaniyah",24255,"Sarwary 142","idp",104,"al.sulaymaniyahidp"
"Al-Sulaymaniyah","al.sulaymaniyah",31982,"Handren 109","idp",41,"al.sulaymaniyahidp"
"Al-Sulaymaniyah","al.sulaymaniyah",31988,"Khwar kurdsat 134","idp",63,"al.sulaymaniyahidp"
"Al-Sulaymaniyah","chamchamal",21719,"Shahidan","idp",6,"chamchamalidp"
"Al-Sulaymaniyah","chamchamal",3461,"hashazini","idp",6,"chamchamalidp"
"Al-Sulaymaniyah","chamchamal",33380,"Awa Spi","idp",37,"chamchamalidp"
"Al-Sulaymaniyah","chamchamal",24894,"Chamchamal-Raparin","idp",184,"chamchamalidp"
"Al-Sulaymaniyah","chamchamal",6159,"Chamchamal-Rizgari","idp",33,"chamchamalidp"
"Al-Sulaymaniyah","chamchamal",21976,"Ashti","idp",93,"chamchamalidp"
"Al-Sulaymaniyah","chamchamal",24688,"Asuda","idp",184,"chamchamalidp"
"Al-Sulaymaniyah","chamchamal",21717,"Qadir Kir Mikan","idp",78,"chamchamalidp"
"Al-Sulaymaniyah","chamchamal",24250,"Qarahanjiriakan","idp",38,"chamchamalidp"
"Al-Sulaymaniyah","chamchamal",4933,"Piryadi","idp",112,"chamchamalidp"
"Al-Sulaymaniyah","chamchamal",20813,"SANGAWIAKAN","idp",59,"chamchamalidp"
"Al-Sulaymaniyah","chamchamal",24813,"Takya-Azadi","idp",35,"chamchamalidp"
"Al-Sulaymaniyah","derbendikhan",6301,"Hawara barza","idp",90,"derbendikhanidp"
"Al-Sulaymaniyah","derbendikhan",24251,"Kanito","idp",114,"derbendikhanidp"
"Al-Sulaymaniyah","derbendikhan",29515,"Shoresh","idp",23,"derbendikhanidp"
"Al-Sulaymaniyah","derbendikhan",24670,"Sara","idp",80,"derbendikhanidp"
"Al-Sulaymaniyah","derbendikhan",24253,"Campe khwarw","idp",34,"derbendikhanidp"
"Al-Sulaymaniyah","derbendikhan",29517,"Khelan","idp",112,"derbendikhanidp"
"Al-Sulaymaniyah","derbendikhan",22996,"Mamostayan","idp",41,"derbendikhanidp"
"Al-Sulaymaniyah","derbendikhan",23078,"Rezgari","idp",57,"derbendikhanidp"
"Al-Sulaymaniyah","dokan",5000,"Shekh Mansourian","idp",7,"dokanidp"
"Al-Sulaymaniyah","dokan",23721,"Chawa spy","idp",52,"dokanidp"
"Al-Sulaymaniyah","dokan",23923,"Sarcham","idp",27,"dokanidp"
"Al-Sulaymaniyah","dokan",23924,"Banwan","idp",28,"dokanidp"
"Al-Sulaymaniyah","dokan",5068,"Topzawa","idp",10,"dokanidp"
"Al-Sulaymaniyah","dokan",24554,"Tokma","idp",20,"dokanidp"
"Al-Sulaymaniyah","dokan",24213,"Sara","idp",99,"dokanidp"
"Al-Sulaymaniyah","dokan",23333,"Pishowa","idp",92,"dokanidp"
"Al-Sulaymaniyah","dokan",6305,"Shaheedan","idp",43,"dokanidp"
"Al-Sulaymaniyah","dokan",3593,"Timar","idp",8,"dokanidp"
"Al-Sulaymaniyah","dokan",5238,"Mergapan","idp",31,"dokanidp"
"Al-Sulaymaniyah","halabcha",22460,"Ardalan","idp",9,"halabchaidp"
"Al-Sulaymaniyah","halabcha",21862,"Gulan","idp",37,"halabchaidp"
"Al-Sulaymaniyah","halabcha",21961,"Kani ishqan","idp",79,"halabchaidp"
"Al-Sulaymaniyah","halabcha",21863,"Mamostaian","idp",9,"halabchaidp"
"Al-Sulaymaniyah","halabcha",21857,"Sharwani","idp",28,"halabchaidp"
"Al-Sulaymaniyah","halabcha",21962,"Marzboto","idp",13,"halabchaidp"
"Al-Sulaymaniyah","halabcha",21960,"Farmanbaran","idp",16,"halabchaidp"
"Al-Sulaymaniyah","halabcha",25757,"Darwazay Shar","idp",23,"halabchaidp"
"Al-Sulaymaniyah","halabcha",31863,"Shahidan","idp",12,"halabchaidp"
"Al-Sulaymaniyah","halabcha",31862,"Raparine","idp",43,"halabchaidp"
"Al-Sulaymaniyah","halabcha",25647,"Grda naze village","idp",15,"halabchaidp"
"Al-Sulaymaniyah","halabcha",22920,"Hassar","idp",37,"halabchaidp"
"Al-Sulaymaniyah","halabcha",24096,"Barkew","idp",56,"halabchaidp"
"Al-Sulaymaniyah","kalar",23767,"Goran","idp",33,"kalaridp"
"Al-Sulaymaniyah","kalar",32001,"Mamostayan","idp",93,"kalaridp"
"Al-Sulaymaniyah","kalar",6286,"Kalar Kon","idp",189,"kalaridp"
"Al-Sulaymaniyah","kalar",23769,"Sherwana","idp",38,"kalaridp"
"Al-Sulaymaniyah","kalar",5995,"Grda Gozina","idp",100,"kalaridp"
"Al-Sulaymaniyah","kalar",24890,"Sirwan","idp",48,"kalaridp"
"Al-Sulaymaniyah","kalar",3939,"Barda Sur","idp",80,"kalaridp"
"Al-Sulaymaniyah","kalar",24962,"Sharawani","idp",148,"kalaridp"
"Al-Sulaymaniyah","kalar",31929,"Zhalla","idp",92,"kalaridp"
"Al-Sulaymaniyah","kalar",31932,"Azadi","idp",52,"kalaridp"
"Al-Sulaymaniyah","kalar",21861,"Garmyan","idp",157,"kalaridp"
"Al-Sulaymaniyah","kalar",21852,"Awbarik","idp",221,"kalaridp"
"Al-Sulaymaniyah","rania",25298,"Koling city","idp",75,"raniaidp"
"Al-Sulaymaniyah","rania",25293,"Raparine","idp",9,"raniaidp"
"Al-Sulaymaniyah","rania",25297,"Rozhhalat","idp",17,"raniaidp"
"Al-Sulaymaniyah","rania",5568,"kurdistan","idp",17,"raniaidp"
"Al-Sulaymaniyah","rania",25296,"Qandil","idp",18,"raniaidp"
"Al-Sulaymaniyah","rania",29686,"Saraa","idp",31,"raniaidp"
"Al-Sulaymaniyah","rania",31869,"Azadi 2","idp",13,"raniaidp"
