"Governorate","district","psu","Location.Name","popgroup","pop","stratum"
"Erbil","erbil",21899,"Rizgari","idp",668,"erbilidp"
"Erbil","erbil",27214,"Shorsh(Malayan)","idp",203,"erbilidp"
"Erbil","erbil",20997,"Runaki","idp",101,"erbilidp"
"Erbil","erbil",20790,"Havalan","idp",295,"erbilidp"
"Erbil","erbil",33878,"Mizori","idp",240,"erbilidp"
"Erbil","erbil",25630,"Kawa Collective","idp",870,"erbilidp"
"Erbil","koysinjaq",24598,"Azady","idp",60,"koysinjaqidp"
"Erbil","koysinjaq",27222,"Nawdaran","idp",15,"koysinjaqidp"
"Erbil","koysinjaq",24597,"Bazar koya(Bafri qndeel)","idp",60,"koysinjaqidp"
"Erbil","koysinjaq",12371,"Bayizagha","idp",55,"koysinjaqidp"
"Erbil","koysinjaq",24484,"Armota","idp",25,"koysinjaqidp"
"Erbil","koysinjaq",23280,"Qalat","idp",95,"koysinjaqidp"
"Erbil","koysinjaq",33885,"Sarbasti","idp",53,"koysinjaqidp"
"Erbil","koysinjaq",11887,"Taqtaq","idp",98,"koysinjaqidp"
"Erbil","rawanduz",13141,"Soran District","idp",235,"rawanduzidp"
"Erbil","rawanduz",31780,"Delzyan","idp",12,"rawanduzidp"
"Erbil","rawanduz",27199,"kawrarash","idp",10,"rawanduzidp"
"Erbil","rawanduz",27198,"Hay mameel al qeer","idp",10,"rawanduzidp"
"Erbil","rawanduz",12277,"Khalifan(center)","idp",21,"rawanduzidp"
"Erbil","rawanduz",12597,"Rawanduz District","idp",40,"rawanduzidp"
"Erbil","rawanduz",27200,"Hamya","idp",12,"rawanduzidp"
"Erbil","rawanduz",27225,"Markaz Mergasur","idp",35,"rawanduzidp"
"Erbil","shaqlawa",13372,"Harir-Batas","idp",35,"shaqlawaidp"
"Erbil","shaqlawa",12172,"Harir","idp",125,"shaqlawaidp"
"Erbil","shaqlawa",12079,"Hiran","idp",61,"shaqlawaidp"
"Erbil","shaqlawa",12948,"Sarmidan-1(Ashti)","idp",82,"shaqlawaidp"
"Erbil","shaqlawa",23698,"Sabirawa","idp",73,"shaqlawaidp"
"Erbil","shaqlawa",23713,"Betrma","idp",90,"shaqlawaidp"
"Erbil","shaqlawa",12957,"Spigra","idp",25,"shaqlawaidp"
"Erbil","shaqlawa",23741,"Safeen","idp",71,"shaqlawaidp"
"Erbil","shaqlawa",23742,"Shahedan","idp",130,"shaqlawaidp"
"Kerbala","kerbela",26060,"Al Ameshea 2","idp",35,"kerbelaidp"
"Kerbala","kerbela",14167,"Al-Abrahmeiah (Al hafed)","idp",63,"kerbelaidp"
"Kerbala","kerbela",24285,"Al-Safiya 2","idp",468,"kerbelaidp"
"Kerbala","kerbela",14037,"Al-zabaylah","idp",60,"kerbelaidp"
"Kerbala","kerbela",32057,"Abu Tharr complex","idp",50,"kerbelaidp"
"Kerbala","kerbela",25061,"Al Hurr Al Sager","idp",46,"kerbelaidp"
"Kerbala","kerbela",14324,"Al Muamnen(Elegal)","idp",10,"kerbelaidp"
"Kerbala","kerbela",25262,"Al Zohor","idp",16,"kerbelaidp"
"Kerbala","kerbela",27265,"Shuihadaa Al Amam Ali","idp",10,"kerbelaidp"
"Kerbala","kerbela",25780,"Hay Al-Naser14","idp",6,"kerbelaidp"
"Kerbala","kerbela",25358,"Al Salam-1","idp",9,"kerbelaidp"
"Kerbala","kerbela",24137,"Maitham Al Tammar","idp",28,"kerbelaidp"
"Kirkuk","daquq",25869,"Hay Shoraw-1","idp",32,"daquqidp"
"Kirkuk","daquq",25739,"Laylan-Bash Bulaq village","idp",120,"daquqidp"
"Kirkuk","daquq",14786,"Fareeq Awa","idp",65,"daquqidp"
"Kirkuk","daquq",33476,"Hay Al-Salam ( Daquq )","idp",150,"daquqidp"
"Kirkuk","daquq",15110,"Hay Klisa 1","idp",100,"daquqidp"
"Kirkuk","daquq",21483,"Hay Nawroz ( Daquq)","idp",86,"daquqidp"
"Kirkuk","daquq",21453,"Hay Ashti","idp",114,"daquqidp"
"Kirkuk","daquq",33477,"Hay Runaki / Daquq","idp",90,"daquqidp"
"Kirkuk","daquq",14960,"Taza-Omer Bin Khattab","idp",85,"daquqidp"
"Kirkuk","dibis",14375,"Altun Kupri Center","idp",28,"dibisidp"
"Kirkuk","dibis",15449,"Bajwan","idp",110,"dibisidp"
"Kirkuk","dibis",15674,"Hay Al-Shuhadaa","idp",75,"dibisidp"
"Kirkuk","dibis",24632,"Hay Al Muaasker","idp",55,"dibisidp"
"Kirkuk","dibis",24631,"Hay Al Tanak","idp",80,"dibisidp"
"Kirkuk","kirkuk",21016,"Hay Al Nassir","idp",420,"kirkukidp"
"Kirkuk","kirkuk",31729,"Hay Al-Askary 2","idp",430,"kirkukidp"
"Kirkuk","kirkuk",15550,"Hay Al-Urooba","idp",579,"kirkukidp"
"Kirkuk","kirkuk",31726,"Al-Qadisssiya(Rabareen) first","idp",405,"kirkukidp"
"Kirkuk","kirkuk",31728,"Hay Al-Askary 1","idp",490,"kirkukidp"
"Kirkuk","kirkuk",24084,"Al Tadamon(Hawkari)","idp",900,"kirkukidp"
"Kirkuk","kirkuk",22296,"Hay Al Jamia-Mahalla 622","idp",2260,"kirkukidp"
"Kirkuk","kirkuk",24453,"Al Takhi Village","idp",330,"kirkukidp"
"Kirkuk","kirkuk",15648,"Al-Sayada Complex","idp",275,"kirkukidp"
"Kirkuk","kirkuk",23900,"Yaychi-Qaryat Turklan","idp",145,"kirkukidp"
"Maysan","al.kahla",20844,"Hay Al Karar","idp",9,"al.kahlaidp"
"Maysan","al.kahla",16835,"Hay 15 Sahaban","idp",10,"al.kahlaidp"
"Maysan","al.kahla",15991,"Hay Al Rasool","idp",8,"al.kahlaidp"
"Maysan","al.kahla",24808,"Eye of Missan","idp",15,"al.kahlaidp"
"Maysan","al.kahla",22208,"Al Salam","idp",13,"al.kahlaidp"
"Maysan","al.kahla",24532,"Al Hay Al JameI","idp",107,"al.kahlaidp"
"Maysan","al.kahla",23622,"Hay Al-Ameer","idp",9,"al.kahlaidp"
"Ninewa","al.baaj",34009,"Al Intisar","idp",213,"al.baajidp"
"Ninewa","al.baaj",34010,"Al-Dubaat","idp",98,"al.baajidp"
"Ninewa","al.baaj",34014,"Hateen","idp",121,"al.baajidp"
"Ninewa","al.baaj",34013,"Al Askari","idp",75,"al.baajidp"
"Ninewa","al.baaj",34012,"Alqadisya","idp",80,"al.baajidp"
"Ninewa","al.baaj",34008,"Al-Risalah","idp",220,"al.baajidp"
"Ninewa","al.baaj",18349,"Al-Yarmuk","idp",126,"al.baajidp"
"Ninewa","al.baaj",34011,"Al-Thawra","idp",187,"al.baajidp"
"Ninewa","al.hamdaniya",25816,"Bishryan","idp",27,"al.hamdaniyaidp"
"Ninewa","al.hamdaniya",24581,"Kalak","idp",574,"al.hamdaniyaidp"
"Ninewa","al.hamdaniya",33475,"Zangal","idp",48,"al.hamdaniyaidp"
"Ninewa","al.hamdaniya",12821,"Khabat","idp",3628,"al.hamdaniyaidp"
"Ninewa","al.hamdaniya",17903,"Al-Salamiyah Village","idp",25,"al.hamdaniyaidp"
"Ninewa","al.hatra",27271,"Tal abta","idp",157,"al.hatraidp"
"Ninewa","al.hatra",33114,"Al-Amilah Village","idp",13,"al.hatraidp"
"Ninewa","al.hatra",33115,"Zaaziaa Village","idp",6,"al.hatraidp"
"Ninewa","al.hatra",33164,"Rmothaniat Al-rdin Village","idp",6,"al.hatraidp"
"Ninewa","al.hatra",17126,"Markaz AL-Hatra","idp",29,"al.hatraidp"
"Ninewa","al.mosul",24549,"Al Harmaat","idp",733,"al.mosulidp"
"Ninewa","al.mosul",18314,"Hay Al Intisar","idp",684,"al.mosulidp"
"Ninewa","al.mosul",23933,"Hay Al Samah","idp",505,"al.mosulidp"
"Ninewa","al.mosul",23875,"Al-Quds","idp",588,"al.mosulidp"
"Ninewa","al.mosul",21332,"HAY-FALISTINE","idp",129,"al.mosulidp"
"Ninewa","al.mosul",25066,"Al Tanak","idp",285,"al.mosulidp"
"Ninewa","al.mosul",18339,"Al-Karamah","idp",1287,"al.mosulidp"
"Ninewa","al.mosul",18357,"Al-sukar","idp",98,"al.mosulidp"
"Ninewa","al.mosul",18346,"Al-Maamon","idp",430,"al.mosulidp"
"Ninewa","al.mosul",21336,"HAY-SUMMER","idp",321,"al.mosulidp"
"Ninewa","al.mosul",18368,"Wadi Hajar","idp",209,"al.mosulidp"
"Ninewa","al.mosul",18313,"Hay Al Islah Al Zirai","idp",259,"al.mosulidp"
"Ninewa","al.mosul",18370,"Hay Al Tammem","idp",348,"al.mosulidp"
"Ninewa","al.mosul",17128,"Hamam Alaleel Center","idp",170,"al.mosulidp"
"Ninewa","al.shikhan",17338,"Atrush","idp",70,"al.shikhanidp"
"Ninewa","al.shikhan",25945,"Esiyan Village","idp",112,"al.shikhanidp"
"Ninewa","al.shikhan",17752,"Baadre","idp",672,"al.shikhanidp"
"Ninewa","al.shikhan",17333,"Shekhan","idp",1524,"al.shikhanidp"
"Ninewa","al.shikhan",17535,"Mahad","idp",240,"al.shikhanidp"
"Ninewa","al.shikhan",25278,"Kabara","idp",8,"al.shikhanidp"
"Ninewa","al.shikhan",18199,"Qasrok","idp",362,"al.shikhanidp"
"Ninewa","al.shikhan",21008,"Chira","idp",183,"al.shikhanidp"
"Ninewa","aqra",8783,"Bardarash","idp",972,"aqraidp"
"Ninewa","aqra",8776,"Daratu","idp",105,"aqraidp"
"Ninewa","aqra",24580,"Roviya","idp",725,"aqraidp"
"Ninewa","aqra",16953,"Dinarta","idp",61,"aqraidp"
"Ninewa","aqra",17802,"Grdasin","idp",293,"aqraidp"
"Ninewa","aqra",17734,"Akre","idp",1713,"aqraidp"
"Ninewa","sinjar",27361,"Wary Bahdo","idp",113,"sinjaridp"
"Ninewa","sinjar",27366,"Balif","idp",126,"sinjaridp"
"Ninewa","sinjar",17928,"Sinuni center","idp",908,"sinjaridp"
"Ninewa","sinjar",27283,"Dokri","idp",30,"sinjaridp"
"Ninewa","sinjar",27285,"Borek","idp",160,"sinjaridp"
"Ninewa","sinjar",17845,"Khana sor","idp",500,"sinjaridp"
"Ninewa","sinjar",27362,"Sardashty","idp",267,"sinjaridp"
"Ninewa","sinjar",23274,"Hay Alqadseya","idp",145,"sinjaridp"
"Ninewa","sinjar",22490,"Hay Al Naser","idp",225,"sinjaridp"
"Ninewa","sinjar",32090,"Hay Alzeraee","idp",111,"sinjaridp"
"Ninewa","sinjar",23273,"Hay Alshuhada","idp",285,"sinjaridp"
"Ninewa","telafar",22923,"Kakhirta","idp",10,"telafaridp"
"Ninewa","telafar",17814,"Tal alhuaa","idp",27,"telafaridp"
"Ninewa","telafar",28453,"Albawtha vilage","idp",20,"telafaridp"
"Ninewa","telafar",18262,"abu khushub","idp",17,"telafaridp"
"Ninewa","telafar",18308,"Hay Al Askari","idp",555,"telafaridp"
"Ninewa","telafar",24701,"Hay Al laban","idp",153,"telafaridp"
"Ninewa","telafar",28450,"Ewaynat vilage","idp",60,"telafaridp"
"Ninewa","telafar",25687,"Hay Al Sikak","idp",37,"telafaridp"
"Ninewa","telafar",25808,"Hay Alasreya","idp",82,"telafaridp"
"Ninewa","telafar",25944,"Qasabat Zummar","idp",130,"telafaridp"
"Ninewa","telafar",25695,"kirver village","idp",7,"telafaridp"
"Ninewa","tilkaef",17134,"Alqosh","idp",119,"tilkaefidp"
"Ninewa","tilkaef",22365,"Shaykhaka","idp",144,"tilkaefidp"
"Ninewa","tilkaef",17830,"Jarahiya","idp",15,"tilkaefidp"
"Ninewa","tilkaef",24703,"Jambour Village","idp",65,"tilkaefidp"
"Ninewa","tilkaef",24637,"Kalata Farhan village","idp",22,"tilkaefidp"
"Ninewa","tilkaef",18377,"Al rasheediya","idp",1557,"tilkaefidp"
"Ninewa","tilkaef",17959,"Tallsquf","idp",214,"tilkaefidp"
"Ninewa","tilkaef",24600,"Al Qawsiyat","idp",461,"tilkaefidp"
"Salah Al-Din","balad",23913,"Hay al Zahraa 204","idp",85,"baladidp"
"Salah Al-Din","balad",25916,"Al Sejla village","idp",90,"baladidp"
"Salah Al-Din","balad",25746,"Markaz Al-Dujeel-Hay Al Wihda Mahala 101","idp",43,"baladidp"
"Salah Al-Din","balad",23920,"Hay Al Hussien","idp",99,"baladidp"
"Salah Al-Din","balad",25747,"Markaz Al-Dujeel-Al Shabab village","idp",75,"baladidp"
"Salah Al-Din","balad",25742,"Al-Duloeyah-Hay Al Jubor","idp",76,"baladidp"
"Salah Al-Din","balad",20770,"Al-Duloeyah-Hay khazraj","idp",67,"baladidp"
"Salah Al-Din","balad",20771,"Albu Farraj Village","idp",100,"baladidp"
"Salah Al-Din","balad",20774,"AL-Eshaqi center","idp",42,"baladidp"
"Salah Al-Din","balad",29601,"Eshaqi Complex","idp",30,"baladidp"
"Salah Al-Din","balad",24912,"Al Sindiyah village","idp",50,"baladidp"
"Salah Al-Din","samarra",23140,"Al Hardaniyah","idp",100,"samarraidp"
"Salah Al-Din","samarra",21724,"Hay Al Mutasim-mahala 105","idp",69,"samarraidp"
"Salah Al-Din","samarra",21725,"Hay Al Wathiq-Mahala 314","idp",234,"samarraidp"
"Salah Al-Din","samarra",20569,"Hay Al-Khathraa Mahala 322","idp",222,"samarraidp"
"Salah Al-Din","samarra",22474,"Hay Al Dhubbat-Mahalla 334","idp",62,"samarraidp"
"Salah Al-Din","samarra",21588,"Al Jubairiyah Al Thalitha","idp",219,"samarraidp"
"Salah Al-Din","samarra",21590,"Hay Salah Al-Din(Mahala 302)","idp",229,"samarraidp"
"Salah Al-Din","samarra",23877,"Hay Al-Ziraa(Sharqiyah)113","idp",51,"samarraidp"
"Salah Al-Din","samarra",25518,"Al Mahalla Al Gharbiah","idp",49,"samarraidp"
"Salah Al-Din","samarra",23876,"Al Jibariya Mahala 316","idp",124,"samarraidp"
"Salah Al-Din","samarra",20675,"Al-Efraz area","idp",144,"samarraidp"
"Salah Al-Din","samarra",22473,"Hay Al Muthanna-Mahalla 312","idp",418,"samarraidp"
"Salah Al-Din","tikrit",24247,"Hay Al baladiyah","idp",160,"tikritidp"
"Salah Al-Din","tikrit",28449,"Mahalla Al Aed","idp",210,"tikritidp"
"Salah Al-Din","tikrit",21592,"Hay Al sinay-Al samad","idp",165,"tikritidp"
"Salah Al-Din","tikrit",23145,"Al Ahad Al Jadid village","idp",43,"tikritidp"
"Salah Al-Din","tikrit",24212,"Al khuzamiya Village","idp",43,"tikritidp"
"Salah Al-Din","tikrit",25923,"Qadisya 2 Mahala 216","idp",140,"tikritidp"
"Salah Al-Din","tikrit",22468,"Hay Al Zuhour-422","idp",216,"tikritidp"
"Salah Al-Din","tikrit",24211,"Al Namah Al ShamaliyahVillage","idp",95,"tikritidp"
"Salah Al-Din","tikrit",20618,"Hammad Shihab","idp",65,"tikritidp"
"Salah Al-Din","tikrit",22058,"Hay Aldiuom","idp",103,"tikritidp"
"Salah Al-Din","tikrit",27367,"Hay Alziraa","idp",20,"tikritidp"
"Salah Al-Din","tikrit",25962,"Hay Salma Altaghlubia","idp",22,"tikritidp"
"Salah Al-Din","tooz.khurmato",25866,"Hay Komari-120","idp",732,"tooz.khurmatoidp"
"Salah Al-Din","tooz.khurmato",25748,"Markaz Tooz-Jesir Dara","idp",57,"tooz.khurmatoidp"
"Salah Al-Din","tooz.khurmato",25754,"Markaz Tooz-Hay Al Askari","idp",559,"tooz.khurmatoidp"
"Salah Al-Din","tooz.khurmato",25872,"Unformal Shelter","idp",273,"tooz.khurmatoidp"
"Salah Al-Din","tooz.khurmato",25752,"Markaz Tooz-Hay Al Taiyar 122","idp",628,"tooz.khurmatoidp"
"Salah Al-Din","tooz.khurmato",20405,"Sankur","idp",47,"tooz.khurmatoidp"
"Salah Al-Din","tooz.khurmato",25868,"Hay Rizgari-114","idp",297,"tooz.khurmatoidp"
"Salah Al-Din","tooz.khurmato",33153,"Zinana","idp",100,"tooz.khurmatoidp"
"Salah Al-Din","tooz.khurmato",25870,"Tal Al Naqqar","idp",380,"tooz.khurmatoidp"
"Thi Qar","al.nasiriya",10301,"Hay Al Fidaa","idp",9,"al.nasiriyaidp"
"Thi Qar","al.nasiriya",9396,"Al-zielat","idp",15,"al.nasiriyaidp"
"Thi Qar","al.nasiriya",24494,"Al Aker","idp",7,"al.nasiriyaidp"
"Thi Qar","al.nasiriya",10259,"Hay Al Tadhihiya","idp",17,"al.nasiriyaidp"
"Thi Qar","al.nasiriya",21208,"Hay Al Mualimeen","idp",7,"al.nasiriyaidp"
"Thi Qar","al.nasiriya",9427,"Hay AL-Mansouria","idp",15,"al.nasiriyaidp"
"Thi Qar","al.nasiriya",10335,"Al-Salhiya","idp",10,"al.nasiriyaidp"
"Thi Qar","al.nasiriya",23683,"Hay Mehidiya","idp",15,"al.nasiriyaidp"
"Thi Qar","al.nasiriya",10263,"Sadir City","idp",14,"al.nasiriyaidp"
"Thi Qar","al.nasiriya",10260,"Al Iskan Al Sinaie","idp",28,"al.nasiriyaidp"
"Wassit","al.kut",19555,"Damook 150","idp",20,"al.kutidp"
"Wassit","al.kut",25322,"Anwar Al Sadur-Al-Ghader","idp",10,"al.kutidp"
"Wassit","al.kut",27277,"Al Hakeem Al-Ula","idp",12,"al.kutidp"
"Wassit","al.kut",27275,"Al-Hassan Al-Askari Al-Thania","idp",20,"al.kutidp"
"Wassit","al.kut",19070,"Hay al-zahraa","idp",10,"al.kutidp"
"Wassit","al.kut",23256,"Al Hasan Al Askari","idp",54,"al.kutidp"
"Wassit","al.kut",27278,"Al Hakeem Al-Thania","idp",12,"al.kutidp"
"Wassit","al.kut",24786,"Al Hakeem Al-Khdhra","idp",10,"al.kutidp"
"Wassit","al.kut",27383,"Hay Al Jawadeen Al-Thalitha","idp",14,"al.kutidp"
"Wassit","al.kut",19548,"Al Batar village","idp",28,"al.kutidp"
"Wassit","al.kut",25103,"Al-Jihad Al-Zahraa","idp",25,"al.kutidp"
"Wassit","al.kut",25106,"Al-Jihad-Al-Sajad","idp",25,"al.kutidp"
"Wassit","al.kut",24261,"Hay Al-Hawaraa 3","idp",58,"al.kutidp"
"Duhok","zakho",106,"Al-Amen","returnee",1176,"zakhoreturnee"
"Al-Anbar","al.kaim",23792,"Al Angaa","returnee",944,"al.kaimreturnee"
"Ninewa","al.baaj",18349,"Al-Yarmuk","returnee",352,"al.baajreturnee"
"Ninewa","al.baaj",34013,"Al Askari","returnee",185,"al.baajreturnee"
"Ninewa","al.baaj",34069,"Al-sahlan","returnee",50,"al.baajreturnee"
"Ninewa","al.baaj",34011,"Al-Thawra","returnee",641,"al.baajreturnee"
"Ninewa","al.baaj",34090,"Al-khader","returnee",23,"al.baajreturnee"
"Ninewa","al.hamdaniya",17131,"Bartalla center","returnee",4100,"al.hamdaniyareturnee"
"Ninewa","al.hamdaniya",22214,"Muafaqiyah village","returnee",865,"al.hamdaniyareturnee"
"Ninewa","al.hamdaniya",17903,"Al-Salamiyah Village","returnee",135,"al.hamdaniyareturnee"
"Ninewa","al.hamdaniya",29613,"Tal Al-Laban","returnee",565,"al.hamdaniyareturnee"
"Ninewa","al.hamdaniya",17386,"Blawat Village","returnee",220,"al.hamdaniyareturnee"
"Ninewa","al.hamdaniya",17373,"Mnara Shabak Village","returnee",1000,"al.hamdaniyareturnee"
"Ninewa","al.hamdaniya",21939,"Shaquli village","returnee",647,"al.hamdaniyareturnee"
"Ninewa","al.hamdaniya",17399,"Jlewkhan village","returnee",391,"al.hamdaniyareturnee"
"Ninewa","al.hamdaniya",22216,"Shiek Ameer Village","returnee",166,"al.hamdaniyareturnee"
"Ninewa","al.hamdaniya",17376,"Kabarly Village","returnee",936,"al.hamdaniyareturnee"
"Ninewa","al.hamdaniya",22433,"Knehash 2 Village","returnee",58,"al.hamdaniyareturnee"
"Ninewa","al.hamdaniya",23699,"Khazna Tappa","returnee",1500,"al.hamdaniyareturnee"
"Ninewa","al.hamdaniya",17930,"Tahrawa Village","returnee",774,"al.hamdaniyareturnee"
"Ninewa","al.shikhan",18267,"Taq Harb","returnee",6,"al.shikhanreturnee"
"Ninewa","al.shikhan",21648,"Taq Mekail","returnee",25,"al.shikhanreturnee"
"Ninewa","al.shikhan",17875,"Nargizlia Village","returnee",46,"al.shikhanreturnee"
"Ninewa","al.shikhan",17051,"Big Rikaba Village","returnee",26,"al.shikhanreturnee"
"Ninewa","al.shikhan",17049,"Small Rikaba Village","returnee",63,"al.shikhanreturnee"
"Ninewa","al.shikhan",17045,"Sheikh Milwan Village","returnee",100,"al.shikhanreturnee"
"Ninewa","al.hatra",33774,"Estielah Village","returnee",48,"al.hatrareturnee"
"Ninewa","al.hatra",33859,"Abu sanam wasataa Village","returnee",120,"al.hatrareturnee"
"Al-Anbar","al.falluja",22606,"Albu Shejel","returnee",1180,"al.fallujareturnee"
"Ninewa","al.hatra",27271,"Tal abta","returnee",2400,"al.hatrareturnee"
"Ninewa","al.hatra",33991,"Easilah algharbia","returnee",76,"al.hatrareturnee"
"Ninewa","al.hatra",33728,"Majmae khams talul","returnee",50,"al.hatrareturnee"
"Al-Anbar","al.falluja",318,"Albu Khanfar","returnee",2216,"al.fallujareturnee"
"Ninewa","al.hatra",33393,"Ashwa village","returnee",302,"al.hatrareturnee"
"Ninewa","al.hatra",33193,"Mreka Village","returnee",27,"al.hatrareturnee"
"Ninewa","al.hatra",17126,"Markaz AL-Hatra","returnee",920,"al.hatrareturnee"
"Ninewa","al.hatra",33861,"Abu sanam janubi iVillage","returnee",200,"al.hatrareturnee"
"Ninewa","al.mosul",33265,"Al-Nafit","returnee",597,"al.mosulreturnee"
"Ninewa","al.mosul",33289,"Al Sikak","returnee",893,"al.mosulreturnee"
"Ninewa","al.mosul",33257,"Msherfa 2","returnee",942,"al.mosulreturnee"
"Al-Anbar","al.kaim",277,"Hay Al-Maamon","returnee",1364,"al.kaimreturnee"
"Al-Anbar","al.falluja",21201,"Albu Shihab","returnee",1058,"al.fallujareturnee"
"Ninewa","al.mosul",33252,"Al-Sinaa Al-Qadema","returnee",1351,"al.mosulreturnee"
"Ninewa","tilkaef",33404,"AL-sheek Maaroof village","returnee",45,"tilkaefreturnee"
"Al-Anbar","al.falluja",33342,"Hay Jbeal","returnee",3135,"al.fallujareturnee"
"Ninewa","al.mosul",31775,"Al-Areej Village","returnee",3000,"al.mosulreturnee"
"Ninewa","tilkaef",33174,"Tel Al-raes Al-thania Village","returnee",1203,"tilkaefreturnee"
"Ninewa","al.mosul",18367,"Al-Yarmuk","returnee",2367,"al.mosulreturnee"
"Ninewa","al.mosul",31912,"Bahzani","returnee",3300,"al.mosulreturnee"
"Al-Anbar","haditha",23811,"Hay Barwanah Al Gharbiyah","returnee",210,"hadithareturnee"
"Al-Anbar","haditha",24315,"Hay Al Rahman","returnee",260,"hadithareturnee"
"Ninewa","al.mosul",21007,"Zanjili","returnee",3538,"al.mosulreturnee"
"Al-Anbar","haditha",23812,"Hay Ibn Bittar","returnee",220,"hadithareturnee"
"Ninewa","al.mosul",21258,"Tal Al-Rumman","returnee",2764,"al.mosulreturnee"
"Ninewa","al.mosul",18372,"Al-Wahda","returnee",2323,"al.mosulreturnee"
"Al-Anbar","haditha",33820,"Hay Al_salam","returnee",143,"hadithareturnee"
"Ninewa","al.mosul",21580,"Orta akrab Village","returnee",544,"al.mosulreturnee"
"Al-Anbar","haditha",23813,"Hay Al Shuhadaa","returnee",115,"hadithareturnee"
"Ninewa","al.mosul",18369,"Al-Khadraa","returnee",817,"al.mosulreturnee"
"Al-Anbar","al.kaim",272,"Hay 12 Rabee Alawal","returnee",614,"al.kaimreturnee"
"Al-Anbar","haditha",79,"Hay Al-Subhani","returnee",145,"hadithareturnee"
"Ninewa","al.mosul",18009,"Mjareen Village","returnee",1200,"al.mosulreturnee"
"Ninewa","al.mosul",20782,"Al-Muharibeen","returnee",494,"al.mosulreturnee"
"Ninewa","sinjar",27285,"Borek","returnee",1923,"sinjarreturnee"
"Ninewa","sinjar",33655,"Kani Edo","returnee",13,"sinjarreturnee"
"Ninewa","sinjar",34036,"Hay Al Shafaa","returnee",119,"sinjarreturnee"
"Ninewa","sinjar",27399,"Sharaf Alddin","returnee",160,"sinjarreturnee"
"Ninewa","sinjar",33998,"Hazeel Al-Kabeer Village","returnee",137,"sinjarreturnee"
"Ninewa","sinjar",34038,"Hay Al Mamoon","returnee",390,"sinjarreturnee"
"Ninewa","sinjar",18048,"Guhbal and shorka","returnee",650,"sinjarreturnee"
"Ninewa","sinjar",27358,"Kolka","returnee",81,"sinjarreturnee"
"Ninewa","sinjar",33651,"Zaytoniya","returnee",43,"sinjarreturnee"
"Al-Anbar","haditha",24117,"Haqlaniyah-Hay Al-Faroq","returnee",50,"hadithareturnee"
"Ninewa","sinjar",33873,"Sibaya harrush","returnee",45,"sinjarreturnee"
"Ninewa","sinjar",23274,"Hay Alqadseya","returnee",89,"sinjarreturnee"
"Al-Anbar","haditha",23820,"Hay K 28","returnee",380,"hadithareturnee"
"Ninewa","sinjar",27287,"Zorava and zirwa","returnee",731,"sinjarreturnee"
"Ninewa","sinjar",17928,"Sinuni center","returnee",1021,"sinjarreturnee"
"Ninewa","sinjar",18016,"Golat","returnee",354,"sinjarreturnee"
"Ninewa","telafar",17617,"Qasr Sarij","returnee",900,"telafarreturnee"
"Al-Anbar","haditha",23817,"Hay Al Shay","returnee",214,"hadithareturnee"
"Ninewa","telafar",25807,"Hay althahabe","returnee",208,"telafarreturnee"
"Al-Anbar","haditha",23822,"Albu Hayat","returnee",304,"hadithareturnee"
"Al-Anbar","haditha",24109,"Barwanah-Hay Al-Shurta","returnee",587,"hadithareturnee"
"Ninewa","telafar",27304,"Kharabat Ashiq","returnee",963,"telafarreturnee"
"Ninewa","telafar",23648,"Sahilah Village","returnee",175,"telafarreturnee"
"Ninewa","telafar",17625,"Eayan Alturs","returnee",305,"telafarreturnee"
"Ninewa","telafar",34048,"Hay Al Noor Al Thania","returnee",703,"telafarreturnee"
"Al-Anbar","heet",21264,"Basair","returnee",1376,"heetreturnee"
"Ninewa","telafar",28439,"Tal Talab vilage","returnee",111,"telafarreturnee"
"Ninewa","telafar",18302,"Hay Al wahda","returnee",2305,"telafarreturnee"
"Ninewa","telafar",33212,"Humur Eafin","returnee",13,"telafarreturnee"
"Al-Anbar","al.kaim",66,"Sadah","returnee",750,"al.kaimreturnee"
"Ninewa","telafar",22446,"Al Mafri","returnee",425,"telafarreturnee"
"Ninewa","telafar",33420,"Hay Al Zahraa","returnee",890,"telafarreturnee"
"Ninewa","telafar",25944,"Qasabat Zummar","returnee",4150,"telafarreturnee"
"Ninewa","telafar",25809,"Domez complex","returnee",652,"telafarreturnee"
"Ninewa","telafar",27356,"Tel shor","returnee",115,"telafarreturnee"
"Ninewa","tilkaef",21603,"Baawiza","returnee",930,"tilkaefreturnee"
"Ninewa","tilkaef",17949,"Derston","returnee",250,"tilkaefreturnee"
"Ninewa","tilkaef",33445,"Ammar Bet Village","returnee",205,"tilkaefreturnee"
"Ninewa","tilkaef",24682,"Al Quba","returnee",3600,"tilkaefreturnee"
"Ninewa","tilkaef",17133,"wanna center","returnee",1875,"tilkaefreturnee"
"Ninewa","al.shikhan",33541,"Shwedeg Sagheer","returnee",33,"al.shikhanreturnee"
"Ninewa","tilkaef",17602,"Kany-Sheren","returnee",220,"tilkaefreturnee"
"Ninewa","tilkaef",17600,"Hasan-Galad","returnee",162,"tilkaefreturnee"
"Ninewa","tilkaef",21601,"Sada Area","returnee",1605,"tilkaefreturnee"
"Ninewa","tilkaef",23415,"Semehla","returnee",143,"tilkaefreturnee"
"Ninewa","tilkaef",21605,"Musqalat Al-Shamalih","returnee",140,"tilkaefreturnee"
